Ep1Question1,"Appointed in 1981 by President Ronald Reagan, who was the first woman to serve on the Supreme Court?",Sandra Day O'Connor,Harriet Tubman,Bram Stoker,Oprah Winfrey,social_sciences,politics,This is a fun fact.
Ep1Question2,"Released in 1939 and nominated for 13 Oscars, which was the first movie in color to win an Academy Award?",Gone With the Wind,Star Wars,Harry Potter,The Wizard of Oz,media,film,This is a fun fact.
Ep1Question3,"The letter ""Q"" does not appear in any official element names on the periodic table, however temporary element names such as ununquadium contain this letter. Which letter does not appear on the periodic table at all?",J,K,F,G,math_science,chemistry,This is a fun fact.
Ep1Question4,Which country was the first to win the World Cup?,Uruguay,Brazil,Germany,Japan,sports,soccer,This is a fun fact.
Ep1Question5,Who was the only President to serve two non-consecutive terms?,Grover Cleveland,John Adams,Barack Obama,David Flora,social_sciences,US Presidents,Grover Cleveland was President from 1885 - 1889 and 1893 -1897 and was the 22nd and 24th President.
Ep1Question6,What is the best selling videogame console of all time?,Playstation 2,Nintendo Wii,Halcyon,XBox 360,technology,computers,Over 155 million consoles sold
Ep1Question7,"Who has more bones, cats or humans?",Cats,Humans,Neither,Dogs,math_science,animals,"Cats have 230 bones, while humans only have 206."
Ep1Question8,"What cardinal direction is the Leaning Tower of Pisa leaning in, it is the same direction that Treebeard enjoys walking in the movie, the Two Towers?",South,North,East,West,social_sciences,geography,"The tower is leaning South. Treebeard says ""I always like going South, somehow it feels like going downhill."" and this line was ad-libed by John Rhys-Davies"
Ep1Question9,"Despite being canceled after 1 season, which Joss Whedon TV show had DVD copies brought to the International Space Station by American Astronaut Steven Ray Swanson and now is a permanent part of the space station's library?",Firefly,Buffy the Vampire Slayer,24,Harry Potter,media,television,This is a fun fact.
Ep1Question10,Which classic dutch painter chose himself as one of his favorite subjects?,Rembrandt van Rijn,Vincent van Gogh,Andy Warhol,Pablo Picasso,the_arts,art,He produced around 70 self portraits.
Ep1Question11,Who was the first woman to be the inducted into the Rock and Roll Halll of Fame?,Aretha Franklin,Katy Perry,Esmeralda Flora,Lady Gaga,media,music,This is a fun fact.
Ep1Question12,In which European country did the dish goulash originate?,Hungary,Poland,Germany,Nepal,society_culture,food/drink,This is a fun fact.
Ep1Question13,Who was the God of the Underworld in Egyptian mythology?,Osiris,Isis,Ra,Hades,society_culture,mythology,This is a fun fact.
Ep1Question14,Which Williams sister has won more single titles in tennis?,Serena,Venus,Tied,Franktha,sports,tennis,"Serena has won 72 titles and Venus has won 49. They have won 22 titles when playing doubles together, including 14 Grand Slam titles and 3 Olympic gold medals."
Ep1Question15,"Who is credited with the authorship of the fable ""the Tortoise and the Hare?""",Aesop,Grimm,Stephen King,Freddie Mercury,the_arts,literature,This is a fun fact.
Ep1Question16,"The name of which North African city literally means ""white house""?",Casablanca,Berlin,Budapest,Baton Rouge,social_sciences,language arts,This is a fun fact.
Ep1BigBang1,"What is the name of the battle that took place in Belgium on June, 18 1815 that marked the final defeat of Napoleon Bonaparte?",Waterloo,Solitude,Tripoli,Liechtenstein,social_sciences,history,This is a fun fact.
Ep1BigBang2,A Morse Code distress signal that was introduced by Germany in 1905 is more commonly known as what?,S.O.S.,ASAP,IDKLOL,HALP,technology,communication,This is a fun fact.
Ep1BigBang3,"Pierce Brosnan, Meryl Streep and Amanda Seyfried starred in what 2008 movie?",Mamma Mia,Goldeneye,Remington Steele,Enchanted,media,film,This is a fun fact.
Ep1FinalQuestion,"Which band won Eurovision in 1974, also marking the first win for the country it represented?",Abba,The Beatles,Blink 182,The Aquabats!,media,music,This is a fun fact.
Ep2Question1,Which writer was commissioned by President Bill Clinton for his 1993 inauguration?,Maya Angelou,Stephen King,William Shakespeare,Freddie Mercury,the_arts,literature,"The poem was called \""On the Pulse of the Morning\"""
Ep2Question2,What name is given to the burrowing crustacean with an enlarged claw that it holds like a violin?,Fiddler Crab,Viola,Hermit Crab,Whale Shark,math_science,animals,This is a fun fact.
Ep2Question3,What automaker bought Rolls-Royce in 1998?,Volkswagen,Ford,Boeing,Mitsubishi,technology,automobiles,This is a fun fact.
Ep2Question4,What canyon is the Hoover Dam built in?,Black Canyon,Grand Canyon,Rotti Largo Canyon,Pacific Ocean,social_sciences,geography,This is a fun fact.
Ep2Question5,The atomic number in the periodic table refers to the number of what in an atom?,Protons,Neutrons,Electrons,Cats,math_science,chemistry,This is a fun fact.
Ep2Question6,In which South American Country was Che Guevara shot and killed?,Bolivia,Antarctica,Ecuador,Argentina,social_sciences,history,This is a fun fact.
Ep2Question7,Which country is more than half of the western coastline of South America?,Chile,Brazil,Argentina,Ecuador,social_sciences,geography,This is a fun fact.
Ep2Question8,Which golfer holds the PGA record for most runner-up finishes in the majors?,Jack Nicklaus,Tiger Woods,Tom Cruise,David Flora,sports,golf,"He has 19, to go along 18 wins."
Ep2Question9,"Which actor was both one of the ""The Dirty Dozen"" and ""The Magnificent Seven""?",Charles Bronson,Tom Cruise,Adam Sandler,Fred Astaire,media,film,This is a fun fact.
Ep2Question10,A Cephalophore is an artistic depiction of a saint holding what?,Their own head,cats,A Bible,Baby Jesus,the_arts,art,It's a symbol of their martyrdom.
Ep2Question11,What 2 letters are you supposed to mind when someone tells you to be on your best behavior?,Ps and Qs,As and Bs,Is and Ts,Zs and Ws,social_sciences,language arts,This is a fun fact.
Ep2Question12,Which bone connects the ribs together?,Sternum,Tibia,Medulla Oblongata,Tailbone,math_science,anatomy,This is a fun fact.
Ep2Question13,"Albert Lamorisse, the French Filmmaker who directed the classic short ""The Red Balloon"" also invented what strategy based board game in 1957?",Risk,Monopoly,Candy Land,Sorry!,games_hobbies,board games,This is a fun fact.
Ep2Question14,Which US State is associated with whiskey and is the home of the Jack Daniels distellery in Lynchburg?,Tennessee,Kentucky,Alaska,Texas,society_culture,food/drink,This is a fun fact.
Ep2Question15,What does ESPN stand for?,Entertainment and Sports Programming Network,Even Sports Paint Nudes,"Epilepsy Sucks, Pay Me",Electronic Sports Photography Network,media,television,This is a fun fact.
Ep2Question16,"Which small, adorable dog breed derives its name from where it is thought to originate in the Mediterranean Island Nation of Malta?",Maltese,Poodle,Chihuahua,Staffordshire Terrier,math_science,animals,Ezzie is a Maltese.
Ep2BigBang1,"What sinister fictional character was known as the ""demon barber of Fleet Street?""",Sweeney Todd,Jack the Ripper,Harry Potter,Dracula,media,film,This is a fun fact.
Ep2BigBang2,"What infamous Russian mystic was nicknamed the ""mad monk""?",Rasputin,Boney M,Anastasia,Joseph Stalin,social_sciences,history,This is a fun fact.
Ep2BigBang3,May 25th is towel day which celebrates Douglas Adams and which comedy sci-fi series?,Hitchhiker's Guide to the Galaxy,A Series of Unfortunate Events,Jimmy Hendrix,Cats,media,idklol,This is a fun fact.
Ep2FinalQuestion,What actor was given his role in the Harry Potter films after the part was turned down by Tim Roth?,Alan Rickman,Jeff Goldblum,David Hasselhoff,George Clooney,media,film,He was given secret intel
Ep3Question1,"Which sequel directed by Steven Spielberg had forboding tagline: ""Something has survived""?",Jurassic Park: The Lost World,Jaws 2,Saw 2,Dumbo,media,film,This is a fun fact.
Ep3Question2,Which President got a new bathtub for the White House that was so large it could hold four average-size men?,Taft,Eisenhower,Bush,Kennedy,social_sciences,US Presidents,He weighed 330 pounds
Ep3Question3,Who did Mehmet Ali Agca attempt to assassinate in 1981?,Pope John Paul II,John F. Kennedy,Angela Lansbury,Sandra Day O'Connor,social_sciences,history,This is a fun fact.
Ep3Question4,Only 2 kinds of mammals currently lay eggs. Name either of them.,Platypus and Echidna,Cat and Dog,Dolphin and Platypus,Wyvern and Garter Snake,math_science,animals,This is a fun fact.
Ep3Question5,Which American City is the game monoply based on sharing streets like Boradwalk and Marvin Gardens?,Atlantic City,New York City,Albuquerque,Boston,games_hobbies,board games,This is a fun fact.
Ep3Question6,What common household liquid is mostly made of dilute acetic acid?,Vinegar,Baking Soda,Salt,Bleach,math_science,science,This is a fun fact.
Ep3Question7,Which two golfers have won a Career Grand Slam (all four of golf's modern majors) at least three times?,Jack Nicklaus and Tiger Woods,Tiger Woods and Jeff Goldbloom,Jack Nicklaus and Jack Nicholas,Tom Cruise and Benedict Cumberbatch,sports,golf,This is a fun fact.
Ep3Question8,Thousand Isalnd Dressing got its name from the Thousand Islands of what river along the border of US and Canada?,St Lawrence River,Amazon River,Nile River,Mississippi River,social_sciences,geography,This is a fun fact.
Ep3Question9,What is the medical term for your big toe?,Hallux,Humerus,Plantar Fasciia,Foot,math_science,anatomy,This is a fun fact.
Ep3Question10,Which songwriting Trumpeter has the title 'Father of the Blues'?,W. C. Handy,Ray Charles,Billy Joel,Freddie Mercury,media,music,This is a fun fact.
Ep3Question11,"Promoted as a Swiss national dish in the 1930s and popularized in America in the 1960s, which dish comes from a French word meaning 'to melt'?",Fondue,Waffle,Goulash,Meltar,society_culture,food/drink,This is a fun fact.
Ep3Question12,"Which surrealist painted the work ""The persistence of memory""?",Salvador Dali,Pablo Picasso,Ezzie Flora,Andy Warhol,the_arts,art,This is a fun fact.
Ep3Question13,What was the name of the test project that produced the first nuclear explosion which took place in 1945 in New Mexico?,Trinity,Albuquerque,Repo,Desert Storm,math_science,science,It took place in the Jornada del Muerto (Journey of Death) Desert
Ep3Question14,Benazir Bhutto was the first female leader of which country?,Pakistan,Spain,Italy,Egypt,social_sciences,world politics,She was the first woman to head a democratic government in a Muslim majority nation.
Ep3Question15,What patriotically titled album was the first CD ever made in the United States?,Born in the USA - Bruce Springsteen,USA IS AWESOME - America,This is America - Billy Joel,Patriotic - Queen,media,music,This is a fun fact.
Ep3Question16,Which planet is farthest from Earth: Mars or Venus?,Venus,Mars,Equidistant,Pluto,math_science,space,Mars 54.6 million kilometers and Venus is 261 million kilometers
Ep3BigBang1,"Tessellation is the covering of a surface with no gaps or overlaps using geometric shapes of what simple construction objects, often used for floors, showers, and decoration?",Tiles,Snowflakes,Carpet,Hardwood Flooring,society_culture,design,This is a fun fact.
Ep3BigBang2,"Usually done in a formal or elegant style, what type of writing composition is an epistle?",Letter,Sonnet,Telegram,Soliloquy,arts,literature,This is a fun fact.
Ep3BigBang3,"Though the honor of which was “the world’s first” is debated, it’s generally accepted that the Dec. 21, 1913 edition of the New York World newspaper printed the first of what type of puzzle?",Crossword,Sudoku,Jigsaw,Logic Problem,games_hobbies,puzzles,This is a fun fact.
Ep3FinalQuestion,"Created in 1938 by NYC architect Alfred Butts, what board game has an anagram variation called “Clabbers?”",Scrabble,Sorry!,Solitaire,Doom,games_hobbies,board games,This is a fun fact.
